WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D0836962,Water pitcher,20170518,20190101,Marcus J. Shotey;Daniel Allen,"Bonvi Water, Inc.",701,D630894;D651446;9382131;D798643,"The ornamental design for a water pitcher, as shown and described."
D0836963,Water container,20170606,20190101,Sangwoon Jeon;Hyunil Lee;Junhyeok Choi,"SAMSUNG ELECTRONICS CO., LTD.",701,D317547;D602731;D651446;D668094;D683176;D708888;D745804;2017/0354278,"The ornamental design fora water container, as shown and described."
D0836972,Pickle pipe,20170523,20190101,Philip D. Baron;Michael J. Bacher,"Masontops, Inc.",701,D5371;2335766;2556195;2694641;2828886;3252404;3455292;3924774;3943987;3946780;4099512;D249624;4218964;4434810;4537017;4688571;4844929;4874108;D304663;5004118;5108423;D326917;5212090;5213230;D341320;5339981;D384236;D392046;5769285;D399745;D415652;6050451;D432857;D455963;6769291;D596487;D617057;D622090;8117990;D659464;D682612;D686878;D717103;8985361;D732959;D745799;9215955;2009/0028999;2012/0305514;2014/0116271;2015/0128809,"We claim an ornamental design for a pickle pipe, as shown and described."
D0836974,Container,20170602,20190101,Roy Joseph Seiders;Matthew Joseph Petrillo;Kyle Ellison,"YETI Coolers, LLC",701,D192192;4090660;4202459;4408703;D288667;D363666;5746338;D416755;D485759;D504796;D544749;D552926;D584566;D608140;D623017;D627600;D643245;D644060;D647753;D655570;D655604;D655967;D662354;D666052;D667263;8276776;D674663;D691416;D692756;D696900;D710698;D715100;D717103;D717115;D721535;D721540;D732337;D747199;D751340;D751341;D752381;D752397;9346076;D761618;D764869;D772651;D779872;D780531;D789737;D795020;D796256;D799899;D801746;D802362;D803619;D803684;D804905;D805838;D807701;D808218;D814240;2010/0288782;2011/0114655;2012/0125931;2013/0186918;2014/0374418;2015/0021345;2015/0266597;2017/0273484,"The ornamental design for a container, as shown and described."
D0836982,Vessel,20170915,20190101,Ryan Diener;Mike Allen,HELEN OF TROY LIMITED,701,D35066;D256651;D280291;D548082;D569254;D577289;D626414;D629689;D629691;D633794;D633795;D633797;D709734;D751924;D783368;D784775;D799906;D804256;D807125;D807126,"The ornamental design for a vessel, as shown, and described."
D0836983,Beverage system,20170223,20190101,Dylan M. Jacob,"BruMate, LLC",701,D373704;D398479;D416198;D492546;D501362;D534762;D539155;D539657;D541665;D551984;D557140;D591556;D602362;7628285;D635019;D641591;8033407;D654762;D660084;D664045;D690988;D707087;D727093;D727688;D728314;D732968;D750497;D761618;D761623;D761624;D770851;D773296;D775495;D780530;D784763;D786700;2014/0205725,"The ornamental design for a beverage system, as shown and described."
D0836984,Container with lid,20170825,20190101,Steven M. Sorensen;David O. Meyers;Manny Carreon,"Runway Blue, LLC",701,D226174;D235032;D317121;D343793;D352242;D412664;D413067;6029837;D427913;D460357;D528910;D537355;D537676;D561035;D596458;D609969;D610005;D619001;D690556;D692276;8752720;8807083;D714584;D721912;D724896;D758133;D760540;D763076;D766090;D767390;D769671;D781153;D791542;D795646;D797497;9771189;D816397;D818774;D824722;2006/0016819;2006/0045604;2006/0226110;2008/0087624;2009/0236341;2011/0278216;2014/0233344;2015/0173540,"The ornamental design for a container with lid, as shown and described."
D0836985,Sports shaker,20170831,20190101,Marin Otto,Printer & Long AS,701,D563232;D621220;D634972;D674662;D682612;D687661;D689331;D697354;D699996;D723332;D724896;D730694;D739674;D741183;D747148;D748430;D754483;D755562;D766029;D766090;D767337;D778666;D786018;D788527;D793165;D797497;D799270;D811814;2016/0296051;2018/0072553,"The ornamental design for a sports shaker, as shown."
D0836986,Drinking cup,20160909,20190101,Ben Davies,KONINKLIJKE PHILIPS N.V.,701,D315213;D368529;D476849;D495558;D507151;D515867;D520809;D545131;D551021;D559624;D579721;D616706;D625424;D627599;D635684;D642435;D642866;8256642;D675877;D676709;D679948;D683185;D684426;D688099;8573436;D713687;D718087;D718090;D730697;D734095;D747920;D748435;D763624;D764235;D793167;D796262;D796906;D809875;D819401;2003/0218015;2005/0098567,"The ornamental design for a drinking cup, as shown and described."
D0836987,Drinking vessel,20171110,20190101,Jordon J. Schultz,,701,1496989;D261465;5092480;D466407;D472426;D492196;D577615;D713718;D753482;D818819,"The ornamental design for a drinking vessel, as shown and described."
